Crops,(1960-61/ 1968-69),(1968-69/ 1975-76),(1975-76/ 1988-89),(1988-89/ 1995-96),(1995-96/ 2004-05),(2004-05/ 2014-15)
Paddy & Wheat,18.15,20.22,21.23,21.8,19.88,17.87
Nutri-cereals,6.9,6.25,4.97,3.85,3.02,2.74
Pulses,7.25,6.06,4.97,4.08,3.33,2.97
Oilseeds,7.07,6.93,6.33,7.84,6.82,6.71
Sugars,4.52,4.57,4.14,4.15,4.73,4.5
Cotton and Jute,2.88,2.6,2.38,2.55,2.28,3.34
Condiments & Spices,1.66,1.59,1.72,1.88,2.15,2.61
Fruits & Vegetables ,10.56,13.92,14.67,14.13,16.8,18.8
Floriculture,0.25,0.35,0.37,0.36,0.61,0.93
All crops,77.14,78.2,75.36,72.19,70.01,69.58
Livestock,20.01,18.59,21.38,23.74,25.28,25.78
Fisheries,2.85,3.21,3.26,4.08,4.72,4.65